"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"Belum nonton, cuman banyak yang bilang bagus sih.","https://www.instagram.com/p/DIg8fc9yl-j/",,,,,,,,,,,,,,,,,,
"Udah nonton 2×👏👏","https://www.instagram.com/p/DIg8fc9yl-j/",,,,,,,,,,,,,,,,,,
"🔥🔥🔥","https://www.instagram.com/p/DR_6SYdkiQd/",,,,,,,,,,,,,,,,,,
"TOLONG RAMEIN GES JANUARIEFKA DWI PRASETYA JABATAN MANAGER AR","https://www.instagram.com/p/DR_6SYdkiQd/",,,,,,,,,,,,,,,,,,
"😍😍","https://www.instagram.com/p/DCylVvnTxon/",,,,,,,,,,,,,,,,,,
"Mantap","https://www.instagram.com/p/DItJ6jxz32V/",,,,,,,,,,,,,,,,,,
"Aplikasi ny sering eror","https://www.instagram.com/p/DItJ6jxz32V/",,,,,,,,,,,,,,,,,,
"min untuk vertifikasi ktp itu bagaimana ya kok akun saya disuruh vertifikasi ktp sedangkan fiturnya ga ada vertifikasi ktp","https://www.instagram.com/p/DItJ6jxz32V/","18070669987899176","0","17841405794705156","POPULIX","true","5961249156","true","false","true","0","1592721762370400400","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwHsAt0v&_nc_oc=AdneR23ovnvudaFN2V1UKO-vzJsMB6Vq9Y23NMwu2Enh9HNKbVT7i9Kq2FPZMSJJAUQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=00_AfqCmlCGN-48T9pzQ2oCtBfTlyNXGw0VGiU9cKcQMTCEfQ&oe=6980BA4D","populix.co","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/21147650_347913582305359_8547543642745602048_a.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_cat=109&ig_cache_key=GAKwQgFPYHzxbDwBAAAAAACo_Z52YUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42ODEuQzMifQ%3D%3D&_nc_ohc=EqVrgUt86S0Q7kNvwHsAt0v&_nc_oc=AdneR23ovnvudaFN2V1UKO-vzJsMB6Vq9Y23NMwu2Enh9HNKbVT7i9Kq2FPZMSJJAUQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=00_AfqCmlCGN-48T9pzQ2oCtBfTlyNXGw0VGiU9cKcQMTCEfQ&oe=6980BA4D","populix.co","0","@lyx.drm hai kak, mohon maaf atas kendalanya. silakan DM ke akun @populix.responden untuk dibantu admin ya😊🙏","2025-04-28T02:37:30.000Z"
"😍😍","https://www.instagram.com/p/DCq4GwdTlow/",,,,,,,,,,,,,,,,,,
"Ldbih ke phising email 😭😭😭 sudah menjadi trauma bagi saya.","https://www.instagram.com/p/DCq4GwdTlow/",,,,,,,,,,,,,,,,,,
