"text","postUrl","replies/0/id","replies/0/likesCount","replies/0/owner/fbid_v2","replies/0/owner/full_name","replies/0/owner/has_onboarded_to_text_post_app","replies/0/owner/id","replies/0/owner/is_mentionable","replies/0/owner/is_private","replies/0/owner/is_verified","replies/0/owner/latest_reel_media","replies/0/owner/profile_pic_id","replies/0/owner/profile_pic_url","replies/0/owner/username","replies/0/ownerProfilePicUrl","replies/0/ownerUsername","replies/0/repliesCount","replies/0/text","replies/0/timestamp"
"Selama menyelesaikan skripsi jurusan Teknik Kimia, perjalanan saya penuh dengan tantangan namun juga sangat berkesan dan memuaskan. 😌📚 Awalnya, saya tertantang dengan topik penelitian yang kompleks mengenai aplikasi teknologi membran dalam pemisahan zat pencemar dari air limbah industri. Proses awal ini penuh dengan pencarian literatur dan perumusan hipotesis yang membutuhkan pemahaman mendalam akan teori dan aplikasi praktis dalam bidang kimia dan teknik.⁣⁣⁣
⁣⁣⁣
Salah satu hal yang paling membingungkan adalah ketika saya harus menghadapi masalah teknis dalam uji coba laboratorium. Ada momen ketika hasil eksperimen tidak sesuai dengan yang diharapkan, dan saya harus melakukan berbagai perbaikan dan validasi untuk memastikan keakuratan data. Ini mengajarkan saya ketelitian dan ketabahan dalam menghadapi tantangan teknis. 🧪💡⁣⁣⁣
⁣⁣⁣
Tidak hanya itu, tetapi saya juga mengalami tekanan dari tenggat waktu yang ketat dan ekspektasi yang tinggi dari dosen pembimbing. Masa-masa menjelang pengumpulan skripsi menjadi waktu yang paling menegangkan, di mana saya harus melakukan revisi dan penyempurnaan berulang kali. 😰⏰⁣⁣⁣
⁣⁣⁣
Namun, di balik semua kesulitan itu, ada rasa bangga dan kepuasan ketika akhirnya berhasil menyelesaikan skripsi dengan baik. Momen saat presentasi dan ujian skripsi, meskipun menegangkan, memberi saya kesempatan untuk memamerkan pengetahuan dan hasil kerja keras selama ini. Mendapatkan apresiasi dan pujian dari dosen pembimbing serta komite ujian menjadi pembuktian atas segala usaha yang telah saya lakukan. 🌟🎓⁣⁣⁣
⁣⁣⁣
Sekarang, saya melihat kembali perjalanan itu sebagai bagian dari pertumbuhan pribadi dan profesional saya. Pengalaman ini tidak hanya memperkaya pengetahuan teknis saya dalam bidang Teknik Kimia, tetapi juga mengasah keterampilan manajemen waktu, ketekunan, dan kemampuan analisis. Saya yakin bahwa semua hal ini akan menjadi pondasi kuat bagi karier saya ke depan. 💪🌼 @aida_rasyida06 @anarzkyana_ @minnnah_04","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"Agak pesimis ke pilih sih tapi coba aja dulu ye kan, jadi gini dulu ngajuin judul ke dospem ACC dong. gara gara seneng akhirnya pulang tuh ceritanya balik kampung halaman. Berangkat dari Surabaya jam 12 malem eh waktu sampe bojonegoro nabrak orang dong😭. untung orangnya ga knapa knapa cuma motor gua ancur lebur. uang buat biaya skripsi malah kepake buat benerin motor😂😂 @bukan_sammbo @hicencen_ @aryudhan","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"Sempet bingung di bab awal skripsi apa sampe ketinggalan dikit sama yg lain. Dan ternyata bingung lagi di bab akhir tapi akhirnya lulus juga. @fidaahr @raaz_sz @raehan_pratama","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"Namaku Angel, mahasiswi semester akhir jurusan Ekonomi. Saat memilih topik skripsi tentang dampak digitalisasi pada usaha kecil menengah, aku merasa semangat. Namun, tantangan segera muncul. Mendapatkan data dari pemilik usaha kecil ternyata sulit. Banyak yang enggan memberikan informasi, membuatku harus berulang kali mendatangi mereka.
Setelah berhasil mengumpulkan data, masalah lain datang. Analisis data menggunakan software statistik terasa sangat membingungkan. Aku harus belajar mandiri karena dosen pembimbing sering kali sibuk dan sulit ditemui. Setiap kali bertemu, revisi yang diberikan sering kali terasa membingungkan dan memerlukan banyak perbaikan.
Selain itu, tekanan dari deadline semakin membuatku stres. Aku harus begadang hampir setiap malam, merasa cemas apakah skripsiku akan selesai tepat waktu. Tidak jarang aku merasa putus asa dan hampir menyerah.
Namun, dukungan dari keluarga dan teman-teman memberiku semangat. Setelah berjuang keras, aku akhirnya menyelesaikan skripsiku. Perasaan lega dan bangga muncul saat berhasil lulus sidang, meskipun perjalanan menuju titik itu penuh dengan keluh kesah dan tantangan yang tidak mudah. Yuk ikutan @daviddprtma @nadyanggita__ @riska.ameliaa10 @maulina.e.cahyani.9 @dimassyahputra264","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"ganti judul, ganti variabel, revisi bab1 yang ga kelar kelar🥲 belum lagi liat kawan kawan seperjuangan udah selesai duluan. @tiara_aap @virnandacsr @dwipaajeng","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"aku ganti judul skripsi berkali², aku nyari lahan buat skripsi udah abis bensin sepertamina nya, aku bolak balik rumah-kampus ngebis 3 jam berkali², pada titik capeknya kejarzan ama dospem mendadak janjiannya diundur dgn alasan beliau mau pulang kampung kangen sama keluarga, ""WOY SAYA JG PEN PULANG KAMPUNG TAPI GA BISA KARNA ADA JANJI SAMA ANDA YANG TERHORMATT!!! SEENAKNYA BATALIN JANJI!!!"" pen teriak gitu tapi yang keluar di mulut ""baik bu tidak apa2"" emg mahasiswa bisa apa selain bilang gt😇👊🏻👊🏻 @fanny_etri @ekapuji_422 @lintang_hikmah","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"@inayulis22 critao disini bolo, masalah keluh kesah mnghadapi dosbingmu luar biasahhh, bimbingan hrus di lap tenis huaaha 😭😂🙌","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"here we go~
jadi waktu pas ngerjain skripsi aku sempet kesusahan ekonomi yang pada akhirnya aku rela open pijat khusus putri demi nambah"" duit buat skripsi, buka laundry bayar seiklasnya biar ada tambahan uang, jual semua barang yang aku punya, oiya jurusanku teknik pada saat itu. puji tuhan aku bisa sempro gelombang 1, lalu tibalah pembukaan semhas gelombang 1 (aku gayakin bisa ikut ini karena bimbinganku kurang 8 kali dan jarak sempro ke pendaftaran semhas cuman 7 hari) tapi aku berusaha dari pagi sampai larut malam kerjain bab 4 & 5 ku. tibalah h-1 penutupan pendaftaran semhas aku curhat ke dospem ku soal aku yang ingin semhas di gelombang 1 itu karena ortuku sudah tidak mampu membiayakan ku lagi dan aku sudah selesai mengerjakan skripsiku jadi aku ingin maju semhas karena kalau aku semhas di gelombang kedua, aku bakal bayar ukt, biaya hidup, dan kosan. dan yap miracle tiba, aku bisa ikut semhas, dospemku mendukung aku untuk semhas malahan dia bilang ""kamu kapan pulang ke rumah? saya liat kamu bimbingan terus dari libur semester ga pulang-pulang, temen-temenmu pada ilang ilangan kamu doang yang rajin ke saya"". aku nangis setelah bimbingan karena bersyukur aku jadi ga nambah ukt lagi. Lalu, setelah menjalani semhas, lisan, yudisium dan resultnya aku adalah angkatan termuda dan cumlaude di angkatanku. karena yang lulus tepat waktu hanya 2 orang di angkatanku, sedangkan yang cumlaude hanya 1 orang yaitu aku setelah gapercaya ngelewatin struggle susahnya kerjain skripsi, ekonomi yang susah, diuji dari berbagai hal akhirnya aku bisa ngelewatin ini:). fun fact, di teknik itu emang rata rata lulusnya 5 tahun, karena waktu aku semhas itu dominan angkatan 19,18,17. angkatanku hanya 2 orang yang ikutan semhas. dan fact kedua aku keluarin uang buat skripsi under 100 aja karena aku dibantu print sama temenku. sedangkan temen""ku yang lain skripsinya 3-30 juta keatas. dari pengalamanku ini aku jadi belajar, ekonomi bukan jadi penghalang aku buat meraih mimpi"" aku. @sarianis @danastriputrii @ichchaa.a","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"pengalaman skripsii dari mulaii dapet dosen penguji yg teledor masalah jadwal gara gara masih ngikut jadwal yang lama, efeknya jadi ngaret 30 menit, effort naik lantai dari 1 ke 3 bolak balik gedung 1 ke 2 buat jemput kedua dosen penguji, terus karena dapet jadwal pertama di hari aku sidang jadi nyiapin semua persiapan dari mulai proyektor, meja sama kursi dosen penguji yang bener bener bikin kalang kabut mana ngurus apa apa sendiri soalnya gapunya temen, tapi syukur atas kuasa Allah akhirnya lancar dan revisi pun ga terlalu rumit, struggle revisian demi dosen penguji yang selalu gaada kabar tapi akhirnya kelar juga, terimakasih yaAllah @syahda_alif @indraagustinoo @eragradi","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
"Sebenernya mo nulis brutal banget tapi takut viral kebaca dosen, hahaha.. Jadi waktu nyusun proposal sempet sakit perut sampai tencrem gara-gara susah banget ngedapetin acc judul dan metodenya. Nah skripsi ini aku neliti kacang tanah di lahan, tantangan di lahan banyak bangetttt ya wak mulai dari musim, bencana kecil, hama, sampe diliatin petani lokal, wkwkkw.. jatuh kepleset lumpur udah ga keitung berapa kali, bahkan sampi 2 bulan setelah penelitian selesai luka-lukanya masih ada, paling epic saat jalan diatas jembatan kayu tiba-tiba jembatannya kebalik jadi aku nyebur kesungai tapi kaki kiri aku masing nyangkut diantara kayu-kayu itu, yaaa... jadi badan aku kecebur sungai tapi kaki kiri masih gelantungan, ITU SAAAKIIIT BGT! proses olah data aman sejauh ini, doain cepet ACC yaa! @syerlinatitis_ @yuniceyoon @fanny_etri","https://www.instagram.com/p/C8RHU3hBroc/",,,,,,,,,,,,,,,,,,
